browser,page,viewport,viewportType,httpStatus,cssLoaded,logoVisible,headerFits,callNowVisible,callNowClipped,getQuoteVisible,getQuoteClipped,navVisible,navClipped,menuVisible,menuClipped,noHorizontalScroll,marqueeFits,heroContentSafe,heroImageSafe,cardsDoNotClip,stickyCtaOk,footerReadable,scrollWidth,clientWidth,h1Text,screenshot,result,notes
Chromium,/services/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Electrical Services Sydney & Surrounding Regions,,PASS,
Chromium,/services/consumer-mains-sydney/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Consumer Mains Electrician Sydney & Surrounding Regions,,PASS,
Chromium,/services/defect-notice-repairs-sydney/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Electrical Defect Notice Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/point-of-attachment-repairs-sydney/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Point of Attachment Repairs Sydney & Surrounding Regions,,PASS,
Chromium,/services/switchboard-upgrades-sydney/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Switchboard Upgrades Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Electricians Across Sydney & Surrounding Regions,,PASS,
Chromium,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Electrician Panania 2213,,PASS,
Chromium,/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Electrician Coogee 2034,,PASS,
Chromium,/privacy-policy/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Privacy Policy,,PASS,
Chromium,/terms/,1920x1080,desktop/laptop,200,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,1920,1920,Terms of Use,,PASS,
