route,viewport,httpStatus,heroType,hasHero,expectedVan,vanPresent,heroWidth,heroHeight,beforeHasVan,beforeOpacity,beforeBackgroundSize,beforeBackgroundPosition,homeImageLoaded,overflowX,issue
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/riverwood,mobile-390,200,internal,yes,yes,yes,390,1229,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/roselands,desktop-1440,200,internal,yes,yes,yes,1440,978,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/roselands,mobile-390,200,internal,yes,yes,yes,390,1229,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/sefton,desktop-1440,200,internal,yes,yes,yes,1440,878,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/sefton,mobile-390,200,internal,yes,yes,yes,390,1162,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/villawood,desktop-1440,200,internal,yes,yes,yes,1440,978,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/villawood,mobile-390,200,internal,yes,yes,yes,390,1229,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/wiley-park,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/wiley-park,mobile-390,200,internal,yes,yes,yes,390,1162,yes,1,contain,100% 0%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/yagoona,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/yagoona,mobile-390,200,internal,yes,yes,yes,390,1162,yes,1,contain,100% 0%,no,no,
/service-areas/central-coast-south,desktop-1440,200,internal,yes,yes,yes,1440,1188,yes,1,cover,100% 50%,no,no,
/service-areas/central-coast-south,mobile-390,200,internal,yes,yes,yes,390,1251,yes,1,contain,100% 0%,no,no,
/service-areas/central-coast-south/central-coast,desktop-1440,200,internal,yes,yes,yes,1440,950,yes,1,cover,100% 50%,no,no,
