route,pageType,status,title,h1,wordCount,phoneCTA,quoteCTA,adsTag,phoneConversion,quoteConversion,internalLinks,brokenInternalLinks,assets,assetFailures,staleRisky,notes
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast/springfield,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast/tascott,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast/tuggerah,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast/wendoree-park,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast/west-gosford,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast/woy-woy,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast/woy-woy-bay,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast/wyoming,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby,area-region,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury,area-region,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/agnes-banks,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/bilpin,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/blaxlands-ridge,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/bligh-park,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/bowen-mountain,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/clarendon,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/cornwallis,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/cumberland-reach,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/east-kurrajong,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/ebenezer,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/freemans-reach,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury/glossodia,suburb,200,,,0,no,no,no,no,no,0,0,0,0,no,
