route,viewport,status,error,h1Count,horizontalOverflow,scrollWidth,headerExists,headerClips,stripExists,stripClips,stickyExists,stickyClips,heroExists,phoneCta,quoteCta,adsTag,failedImages
/level-2-electrician-sydney/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/services/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/service-areas/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/services/pre-purchase-rental-electrical-inspections-sydney/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/services/hot-water-system-electrician-sydney/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/services/split-system-air-conditioning-sydney/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/services/switchboard-upgrades-sydney/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/services/consumer-mains-sydney/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/service-areas/western-sydney-and-nepean/blacktown/blacktown/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/privacy-policy/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/terms/,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/404.html,912x1368,200,,1,false,912,true,false,true,false,true,false,true,true,true,true,
/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/about/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/contact/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/solar-batteries/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/emergency-electrician-sydney/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/level-2-electrician-sydney/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/service-areas/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/pre-purchase-rental-electrical-inspections-sydney/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/hot-water-system-electrician-sydney/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/split-system-air-conditioning-sydney/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/switchboard-upgrades-sydney/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/consumer-mains-sydney/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/service-areas/western-sydney-and-nepean/blacktown/blacktown/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/privacy-policy/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/terms/,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/404.html,1024x1366,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/about/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/contact/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/solar-batteries/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/emergency-electrician-sydney/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/level-2-electrician-sydney/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/services/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/service-areas/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/services/pre-purchase-rental-electrical-inspections-sydney/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/services/hot-water-system-electrician-sydney/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/services/split-system-air-conditioning-sydney/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/services/switchboard-upgrades-sydney/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/services/consumer-mains-sydney/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/service-areas/sydney-city-and-eastern-suburbs/randwick/coogee/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/service-areas/western-sydney-and-nepean/blacktown/blacktown/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/privacy-policy/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/terms/,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/404.html,1280x800,200,,1,false,1280,true,false,true,false,true,false,true,true,true,true,
/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/about/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/contact/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/solar-batteries/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/emergency-electrician-sydney/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/level-2-electrician-sydney/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/service-areas/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/pre-purchase-rental-electrical-inspections-sydney/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/hot-water-system-electrician-sydney/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/split-system-air-conditioning-sydney/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/switchboard-upgrades-sydney/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/services/consumer-mains-sydney/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,1024x768,200,,1,false,1024,true,false,true,false,true,false,true,true,true,true,
