file,type,raw bytes,gzip bytes,route or asset group,over 500 KB yes/no,over 1 MB yes/no,duplicate content hash yes/no,optimisation recommendation,notes
service-areas/northern-beaches/northern-beaches/avalon-beach/index.html,html,393531,45106,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/quakers-hill/index.html,html,393528,45250,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/coledale/index.html,html,393525,44638,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/north-st-marys/index.html,html,393519,45115,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/burwood/burwood/index.html,html,393516,45851,route html,no,no,no,ok,
service-areas/st-george-and-bayside/georges-river/hurstville/index.html,html,393516,45915,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/oxford-falls/index.html,html,393502,45129,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/morning-bay/index.html,html,393499,45139,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hornsby/dangar-island/index.html,html,393472,45059,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/lovett-bay/index.html,html,393471,45297,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/lethbridge-park/index.html,html,393454,45423,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/mona-vale/index.html,html,393439,45152,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/south-windsor/index.html,html,393437,44904,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/mount-kembla/index.html,html,393424,44987,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/somersby/index.html,html,393423,45238,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/woollahra/double-bay/index.html,html,393418,45598,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/blaxlands-ridge/index.html,html,393403,45119,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/inner-west/croydon-park/index.html,html,393392,45102,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/mount-white/index.html,html,393390,45235,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/balaclava/index.html,html,393384,44986,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/woollahra/watsons-bay/index.html,html,393383,45518,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/freshwater/index.html,html,393381,45330,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/koolewong/index.html,html,393379,44804,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/werrington-county/index.html,html,393376,45284,route html,no,no,no,ok,
service-areas/blue-mountains/blue-mountains/valley-heights/index.html,html,393371,44937,route html,no,no,no,ok,
service-areas/blue-mountains/blue-mountains/bullaburra/index.html,html,393370,45122,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/blackbutt/index.html,html,393367,45189,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/niagara-park/index.html,html,393355,44881,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hills-district/lower-portland/index.html,html,393354,45741,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/blacktown/glendenning/index.html,html,393353,45152,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/burwood/burwood-heights/index.html,html,393349,45452,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/ingleside/index.html,html,393349,45113,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hills-district/wisemans-ferry/index.html,html,393346,45109,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/wongawilli/index.html,html,393339,44887,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/fairlight/index.html,html,393335,45107,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/randwick/centennial-park/index.html,html,393331,45094,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/sydney/zetland/index.html,html,393331,45888,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/new-berrima/index.html,html,393312,45119,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/balgownie/index.html,html,393304,44931,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/cromer/index.html,html,393292,45119,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/oak-flats/index.html,html,393279,45014,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/dombarton/index.html,html,393268,45180,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/stanwell-tops/index.html,html,393263,44841,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/elvina-bay/index.html,html,393259,45318,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/whale-beach/index.html,html,393254,45088,route html,no,no,no,ok,
service-areas/st-george-and-bayside/rockdale-and-bexley/brighton-le-sands/index.html,html,393243,45057,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/woollahra/woollahra/index.html,html,393243,45349,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/curl-curl/index.html,html,393238,45028,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/wollondilly/pheasants-nest/index.html,html,393232,45410,route html,no,no,no,ok,
service-areas/macarthur-camden-and-wollondilly/campbelltown/st-helens-park/index.html,html,393223,44879,route html,no,no,no,ok,
service-areas/northern-sydney-and-ryde/hunters-hill/gladesville/index.html,html,393221,44981,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/woollahra/point-piper/index.html,html,393218,45173,route html,no,no,no,ok,
service-areas/inner-west-burwood-and-canada-bay/canada-bay/five-dock/index.html,html,393216,45735,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/cumberland/lidcombe/index.html,html,393213,45783,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/randwick/south-coogee/index.html,html,393211,45301,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/wollongong/yallah/index.html,html,393210,45111,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/randwick/kensington/index.html,html,393205,45350,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/west-gosford/index.html,html,393182,44880,route html,no,no,no,ok,
service-areas/hills-hawkesbury-and-hornsby/hawkesbury/east-kurrajong/index.html,html,393180,45039,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/east-gosford/index.html,html,393179,44825,route html,no,no,no,ok,
service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow-heights/index.html,html,393177,44724,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/sydney/rushcutters-bay/index.html,html,393168,45143,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/londonderry/index.html,html,393167,45236,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/glenmore-park/index.html,html,393163,44993,route html,no,no,no,ok,
service-areas/central-coast-south/central-coast/cogra-bay/index.html,html,393155,45025,route html,no,no,no,ok,
service-areas/parramatta-and-cumberland/parramatta/north-rocks/index.html,html,393153,45184,route html,no,no,no,ok,
service-areas/southern-highlands/wingecarribee/burrawang/index.html,html,393152,44753,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/dunmore/index.html,html,393136,45431,route html,no,no,no,ok,
service-areas/sydney-city-and-eastern-suburbs/waverley/dover-heights/index.html,html,393133,45328,route html,no,no,no,ok,
service-areas/wollongong-and-illawarra/shellharbour/calderwood/index.html,html,393133,44878,route html,no,no,no,ok,
service-areas/northern-beaches/northern-beaches/north-manly/index.html,html,393129,44665,route html,no,no,no,ok,
service-areas/western-sydney-and-nepean/penrith/jordan-springs/index.html,html,393122,45296,route html,no,no,no,ok,
